Nickname,Name,Weight Class,Record
"""Dragon""",Mason Jones,"""Dragon""",11-2-0 (W-L-D)
"""The Beast""",Jamelle Jones,"""The Beast""",7-5-0 (W-L-D)
,Antonio Jones,Middleweight,7-0-0 (W-L-D)
"""Big Baby""",Marcus Jones,"""Big Baby""",4-3-0 (W-L-D)
,Paul Jones,Middleweight,0-0-0 (W-L-D)
"""Bones""",Jon Jones,"""Bones""",27-1-0 (W-L-D)
,Justin Jones,Middleweight,9-2-0 (W-L-D)
"""The Savage""",Shawn Jordan,"""The Savage""",18-7-0 (W-L-D)
"""The Shaman""",Kevin Jordan,"""The Shaman""",7-4-0 (W-L-D)
,Ivan Jorge,Lightweight,26-5-0 (W-L-D)
"""Young Guns""",Scott Jorgensen,"""Young Guns""",15-12-0 (W-L-D)
,Dwight Joseph,Bantamweight,0-0-0 (W-L-D)
"""The Inferno""",Jeff Joslin,"""The Inferno""",5-3-0 (W-L-D)
,Krzysztof Jotko,Middleweight,24-6-0 (W-L-D)
"""Brahma""",Alan Jouban,"""Brahma""",17-7-0 (W-L-D)
"""Air""",Charles Jourdain,"""Air""",15-7-1 (W-L-D)
"""Air""",Kevin Jousset,"""Air""",10-2-0 (W-L-D)
,Dustin Joynson,Heavyweight,0-0-0 (W-L-D)
"""King of Lions""",Anshul Jubli,"""King of Lions""",7-1-0 (W-L-D)
,Steve Judson,Heavyweight,0-0-0 (W-L-D)
"""The Jedi""",Luke Jumeau,"""The Jedi""",13-5-0 (W-L-D)
"""Sseda""",Da Woon Jung,"""Sseda""",15-4-1 (W-L-D)
"""The Korean Zombie""",Chan Sung Jung,"""The Korean Zombie""",17-8-0 (W-L-D)
,Scott Junk,Heavyweight,6-2-0 (W-L-D)
"""Fury""",Myles Jury,"""Fury""",17-4-0 (W-L-D)
,Geza Kahlman Jr,,0-0-0 (W-L-D)
,Oron Kahlon,Bantamweight,0-1-0 (W-L-D)
,Lu Kai,Featherweight,1-2-0 (W-L-D)
,Sim Kai Xiong,Flyweight,0-1-0 (W-L-D)
,Li Kaiwen,Featherweight,2-1-0 (W-L-D)
"""Zohan""",Sirwan Kakai,"""Zohan""",12-3-0 (W-L-D)
,Saidyokub Kakhramonov,Bantamweight,10-3-0 (W-L-D)
"""The Fighting Hawaiian""",Kai Kamaka,"""The Fighting Hawaiian""",8-4-1 (W-L-D)
,Shuya Kamikubo,Bantamweight,1-1-0 (W-L-D)
"""The Hitman""",Martin Kampmann,"""The Hitman""",20-7-0 (W-L-D)
,Koya Kanda,Featherweight,1-1-0 (W-L-D)
"""Daring""",Bharat Kandare,"""Daring""",5-3-0 (W-L-D)
,Masanori Kanehara,Bantamweight,25-13-5 (W-L-D)
"""Mr. Perfect""",Kyung Ho Kang,"""Mr. Perfect""",19-10-0 (W-L-D)
,Denis Kang,Middleweight,32-12-1 (W-L-D)
"""StarBoy""",Manel Kape,"""StarBoy""",19-6-0 (W-L-D)
"""Diamond""",Dave Kaplan,"""Diamond""",3-3-0 (W-L-D)
"""T-Rex""",Alex Karalexis,"""T-Rex""",8-2-0 (W-L-D)
"""Tshilobo""",Impa Kasanganay,"""Tshilobo""",9-2-0 (W-L-D)
,Jinnosuke Kashimura,Lightweight,0-1-0 (W-L-D)
,Yusuke Kasuya,Lightweight,9-3-2 (W-L-D)
"""Superman""",Brad Katona,"""Superman""",16-3-0 (W-L-D)
,Calvin Kattar,Featherweight,23-8-0 (W-L-D)
,Canaan Kawaihae,Featherweight,4-2-0 (W-L-D)
"""The Crusher""",Tatsuya Kawajiri,"""The Crusher""",35-10-2 (W-L-D)
,Toshiomi Kazama,Bantamweight,10-4-0 (W-L-D)
,C.J. Keith,Lightweight,8-2-0 (W-L-D)
"""The Greek Assassin""",Chris Kelades,"""The Greek Assassin""",9-3-0 (W-L-D)
"""Boom""",Brian Kelleher,"""Boom""",24-15-0 (W-L-D)
"""Primetime""",Tony Kelley,"""Primetime""",8-3-0 (W-L-D)
,Daniel Kelly,Middleweight,13-4-0 (W-L-D)
"""Tellys""",Paul Kelly,"""Tellys""",12-4-0 (W-L-D)
"""The Assassin""",Song Kenan,"""The Assassin""",20-8-0 (W-L-D)
"""JBC""",Jeremy Kennedy,"""JBC""",11-1-0 (W-L-D)
"""The Steamrolla""",Steven Kennedy,"""The Steamrolla""",22-8-0 (W-L-D)
,Tim Kennedy,Middleweight,18-6-0 (W-L-D)
,Casey Kenney,Bantamweight,0-0-0 (W-L-D)
,Casey Kenney,Bantamweight,16-4-1 (W-L-D)
,Maimaitituoheti Keremuaili,Bantamweight,0-1-0 (W-L-D)
"""The Titan""",Mark Kerr,"""The Titan""",13-3-0 (W-L-D)
"""Tiger""",Rustam Khabilov,"""Tiger""",24-4-0 (W-L-D)
,Adam Khaliev,Welterweight,6-0-0 (W-L-D)
"""Honda""",Sergey Khandozhko,"""Honda""",28-6-1 (W-L-D)
,Alfred Khashakyan,Bantamweight,8-4-0 (W-L-D)
"""Black Wolf""",Aliaskhab Khizriev,"""Black Wolf""",14-0-0 (W-L-D)
,WonBin Ki,Lightweight,2-2-0 (W-L-D)
,Katsunori Kikuno,Featherweight,23-8-2 (W-L-D)
,Sinae Kikuta,Middleweight,0-0-0 (W-L-D)
"""The Killer""",Jacob Kilburn,"""The Killer""",8-4-0 (W-L-D)
"""The Stun Gun""",Dong Hyun Kim,"""The Stun Gun""",22-4-1 (W-L-D)
,KyeongPyo Kim,Lightweight,1-1-0 (W-L-D)
,HanSeul Kim,Welterweight,1-2-0 (W-L-D)
,MinWoo Kim,Bantamweight,0-0-0 (W-L-D)
,Sang Won Kim,Featherweight,1-1-0 (W-L-D)
,Sangwook Kim,Lightweight,1-1-0 (W-L-D)
"""Grizzly""",Jeremy Kimball,"""Grizzly""",15-8-0 (W-L-D)
"""The Rosedale Reaper""",Rob Kimmons,"""The Rosedale Reaper""",23-7-0 (W-L-D)
"""The Diamond""",Dustin Kimura,"""The Diamond""",12-3-0 (W-L-D)
,Mike King,Middleweight,5-1-0 (W-L-D)
"""Kingsbu""",Kyle Kingsbury,"""Kingsbu""",11-6-0 (W-L-D)
,Yusaku Kinoshita,Welterweight,6-3-0 (W-L-D)
"""The Jawaiian""",Kamuela Kirk,"""The Jawaiian""",12-6-0 (W-L-D)
,Koji Kitao,,0-0-0 (W-L-D)
"""""Tiger Muay Thai""""",Top Noi Kiwram,"""""Tiger Muay Thai""""",1-2-0 (W-L-D)
"""Mr. Highlight""",Ludovit Klein,"""Mr. Highlight""",22-4-1 (W-L-D)
,Felix Klinkhammer,Welterweight,0-0-0 (W-L-D)
,Drakkar Klose,Lightweight,15-2-1 (W-L-D)
"""Nightmare""",William Knight,"""Nightmare""",11-5-0 (W-L-D)
"""The Kid""",Jason Knight,"""The Kid""",20-6-0 (W-L-D)
"""New Breed""",Erik Koch,"""New Breed""",16-6-0 (W-L-D)
,Brad Kohler,Heavyweight,0-0-0 (W-L-D)
,Kaloyan Kolev,Light Heavyweight,0-1-0 (W-L-D)
,John Kolosci,Welterweight,8-5-0 (W-L-D)
,Yuki Kondo,Light Heavyweight,0-0-0 (W-L-D)
,Cheick Kongo,Heavyweight,28-8-2 (W-L-D)
,Jon Koppenhaver,Welterweight,6-2-0 (W-L-D)
,Roman Kopylov,Middleweight,13-3-0 (W-L-D)
,Bruno Korea,Flyweight,4-3-0 (W-L-D)
"""TK""",Tsuyoshi Kosaka,"""TK""",18-9-1 (W-L-D)
,Josh Koscheck,Welterweight,19-10-0 (W-L-D)
"""Obi Won Shinobi The Pillow""",Steven Koslow,"""Obi Won Shinobi The Pillow""",6-1-0 (W-L-D)
,Naoyuki Kotani,Lightweight,33-13-7 (W-L-D)
"""D-Rock""",Derrick Krantz,"""D-Rock""",24-12-0 (W-L-D)
"""The James Krause""",James Krause,"""The James Krause""",28-9-0 (W-L-D)
"""Panzer""",Pascal Krauss,"""Panzer""",11-2-0 (W-L-D)
"""Bahia""",Kaynan Kruschewsky,"""Bahia""",15-2-0 (W-L-D)
"""The Last Viking""",Jorgen Kruth,"""The Last Viking""",5-0-0 (W-L-D)
"""The Miner""",Nikita Krylov,"""The Miner""",30-9-0 (W-L-D)
,Mariusz Ksiazkiewicz,Middleweight,0-1-0 (W-L-D)
,Michael Kuiper,Middleweight,12-3-0 (W-L-D)
,Anton Kuivanen,Lightweight,17-6-0 (W-L-D)
,Sumit Kumar,Flyweight,0-1-0 (W-L-D)
,Aleksei Kunchenko,Welterweight,20-2-0 (W-L-D)
,Rizvan Kuniev,Heavyweight,1-0-0 (W-L-D)
,Keigo Kunihara,Heavyweight,3-3-0 (W-L-D)
"""Strasser""",Kiichi Kunimoto,"""Strasser""",19-6-2 (W-L-D)
"""The Lion""",Leo Kuntz,"""The Lion""",17-3-1 (W-L-D)
,Korey Kuppe,Welterweight,8-4-0 (W-L-D)
,Ramazan Kuramagomedov,Middleweight,1-0-0 (W-L-D)
"""Georgian Viking""",Guram Kutateladze,"""Georgian Viking""",12-4-0 (W-L-D)
"""The Handsome""",Kwan Ho Kwak,"""The Handsome""",9-2-0 (W-L-D)
"""MAK""",Mike Kyle,"""MAK""",19-9-1 (W-L-D)
"""Miojo""",Daniel Lacerda,"""Miojo""",11-6-0 (W-L-D)
,Luan Lacerda,Bantamweight,12-3-0 (W-L-D)
,Ryan LaFlare,Welterweight,13-3-0 (W-L-D)
"""Neo""",Noad Lahat,"""Neo""",9-2-0 (W-L-D)
"""White Lion""",Yohan Lainesse,"""White Lion""",9-3-0 (W-L-D)
"""The Bohemian""",Tim Lajcik,"""The Bohemian""",11-4-1 (W-L-D)
"""The Unpredictable One""",Sean Lally,"""The Unpredictable One""",8-4-0 (W-L-D)
"""The Bully""",Ricardo Lamas,"""The Bully""",20-8-0 (W-L-D)
"""The Punisher""",Jason Lambert,"""The Punisher""",23-8-0 (W-L-D)
"""The Train""",Nate Landwehr,"""The Train""",18-5-0 (W-L-D)
,Austen Lane,Heavyweight,12-5-0 (W-L-D)
"""Double Impact""",Taylor Lapilus,"""Double Impact""",19-4-0 (W-L-D)
"""The Disciple""",Chad Laprise,"""The Disciple""",14-4-0 (W-L-D)
"""The Recipe""",Anthony Lapsley,"""The Recipe""",25-7-0 (W-L-D)
,TJ Laramie,Featherweight,12-5-0 (W-L-D)
,Icho Larenas,Heavyweight,3-2-0 (W-L-D)
"""The Monsoon""",Lorenz Larkin,"""The Monsoon""",18-5-0 (W-L-D)
,Jeremy Larsen,Featherweight,8-5-0 (W-L-D)
,Brock Larson,Welterweight,27-4-0 (W-L-D)
"""The Sledgehammer""",Ilir Latifi,"""The Sledgehammer""",17-9-0 (W-L-D)
,Sione Latu,Heavyweight,0-0-0 (W-L-D)
"""The Demolition Man""",Jenel Lausa,"""The Demolition Man""",7-4-0 (W-L-D)
"""The Upgrade""",Dan Lauzon,"""The Upgrade""",12-4-0 (W-L-D)
,Joe Lauzon,Lightweight,28-16-0 (W-L-D)
"""Ruthless""",Robbie Lawler,"""Ruthless""",30-16-0 (W-L-D)
"""Filthy""",Tom Lawlor,"""Filthy""",10-6-0 (W-L-D)
"""The Heat""",Ronnie Lawrence,"""The Heat""",8-2-0 (W-L-D)
"""The Tornado""",Lance Lawrence,"""The Tornado""",5-0-0 (W-L-D)
"""The American Kidd""",Justin Lawrence,"""The American Kidd""",4-2-0 (W-L-D)
,Jimmy Lawson,Heavyweight,0-1-0 (W-L-D)
"""Bidu""",Valmir Lazaro,"""Bidu""",13-4-0 (W-L-D)
,Zviad Lazishvili,Bantamweight,13-1-0 (W-L-D)
"""The Sniper""",Mounir Lazzez,"""The Sniper""",11-3-0 (W-L-D)
,Thanh Le,Featherweight,7-1-0 (W-L-D)
,Cung Le,Middleweight,9-3-0 (W-L-D)
"""The Monkey King""",Jordan Leavitt,"""The Monkey King""",11-3-0 (W-L-D)
"""The Crippler""",Chris Leben,"""The Crippler""",22-11-0 (W-L-D)
"""Ragnar""",Mickael Lebout,"""Ragnar""",14-5-1 (W-L-D)
"""El Blanco""",Justin Ledet,"""El Blanco""",9-4-0 (W-L-D)
"""Korean Tiger""",JeongYeong Lee,"""Korean Tiger""",11-1-0 (W-L-D)
,Jung Hyun Lee,Flyweight,0-1-0 (W-L-D)
"""The Motown Phenom""",Kevin Lee,"""The Motown Phenom""",18-8-0 (W-L-D)
,Rocky Lee,Featherweight,3-1-0 (W-L-D)
,Vaughan Lee,Bantamweight,14-11-1 (W-L-D)
,David Lee,Lightweight,5-2-0 (W-L-D)
,James Lee,Light Heavyweight,25-3-0 (W-L-D)
,Jackie Lee,Lightweight,0-0-0 (W-L-D)
,Chang Ho Lee,Bantamweight,2-0-0 (W-L-D)
"""Steadfast""",Cheyden Leialoha,"""Steadfast""",6-1-0 (W-L-D)
,Christophe Leininger,Lightweight,0-0-0 (W-L-D)
,Thales Leites,Middleweight,27-9-0 (W-L-D)
"""The Viking""",Giacomo Lemos,"""The Viking""",6-0-0 (W-L-D)
"""The Ox""",Jesse Lennox,"""The Ox""",15-3-0 (W-L-D)
"""The Carny""",Nik Lentz,"""The Carny""",30-12-2 (W-L-D)
,Alberto Cerro Leon,,0-0-0 (W-L-D)
,Anthony Leone,Bantamweight,0-0-0 (W-L-D)
"""Kimo""",Kimo Leopoldo,"""Kimo""",10-4-1 (W-L-D)
,Brock Lesnar,Heavyweight,6-3-0 (W-L-D)
"""The Tank""",Frank Lester,"""The Tank""",3-5-0 (W-L-D)
"""Executioner""",Justin Levens,"""Executioner""",7-2-0 (W-L-D)
"""The Prospect""",Marcus LeVesseur,"""The Prospect""",22-7-0 (W-L-D)
,David Levicki,,0-0-0 (W-L-D)
,Natan Levy,Lightweight,8-2-0 (W-L-D)
,Malik Lewis,Lightweight,0-2-0 (W-L-D)
,Brandon Lewis,Bantamweight,0-2-0 (W-L-D)
,Bevon Lewis,Middleweight,8-3-0 (W-L-D)
,John Lewis,Lightweight,0-0-0 (W-L-D)
"""The Black Beast""",Derrick Lewis,"""The Black Beast""",28-12-0 (W-L-D)
,Chi Lewis-Parry,Heavyweight,0-0-0 (W-L-D)
"""The Joker""",Jess Liaudin,"""The Joker""",12-11-0 (W-L-D)
"""The Iceman""",Chuck Liddell,"""The Iceman""",21-8-0 (W-L-D)
,Rodrigo Lidio,Lightweight,0-1-0 (W-L-D)
"""The Lisbon Outlaw""",Zach Light,"""The Lisbon Outlaw""",5-1-0 (W-L-D)
,Chris Ligouri,Middleweight,2-2-0 (W-L-D)
"""The Ace""",Hyun Gyu Lim,"""The Ace""",13-7-1 (W-L-D)
,Dhiego Lima,Welterweight,17-9-0 (W-L-D)
"""Mascote""",Andre Lima,"""Mascote""",9-0-0 (W-L-D)
"""The Law""",Matt Lindland,"""The Law""",15-3-0 (W-L-D)
"""The Librarian""",Jake Lindsey,"""The Librarian""",9-3-0 (W-L-D)
"""Hands of Stone""",John Lineker,"""Hands of Stone""",31-9-0 (W-L-D)
"""Lights Out""",Austin Lingo,"""Lights Out""",9-3-0 (W-L-D)
"""The Spartan""",Lucio Linhares,"""The Spartan""",13-6-0 (W-L-D)
"""Monstro""",Philipe Lins,"""Monstro""",18-5-0 (W-L-D)
"""The Warrior""",Zhang Lipeng,"""The Warrior""",9-9-1 (W-L-D)
"""The Boogeyman""",Dean Lister,"""The Boogeyman""",11-6-0 (W-L-D)
,Pingyuan Liu,Bantamweight,13-7-0 (W-L-D)
"""Goku """,James Llontop,"""Goku """,14-3-0 (W-L-D)
"""Skullman""",Abner Lloveras,"""Skullman""",19-8-1 (W-L-D)
,John Lober,Middleweight,0-0-0 (W-L-D)
"""The Russian Hammer""",Artem Lobov,"""The Russian Hammer""",14-15-1 (W-L-D)
,Dylan Lockard,Featherweight,0-0-0 (W-L-D)
"""The Destroyer""",Sean Loeffler,"""The Destroyer""",25-5-0 (W-L-D)
,Christian Lohsen,Lightweight,0-0-0 (W-L-D)
"""The Crow""",David Loiseau,"""The Crow""",18-10-0 (W-L-D)
"""Showeather""",Hector Lombard,"""Showeather""",34-9-1 (W-L-D)
"""The Don""",Michael Lombardo,"""The Don""",11-2-0 (W-L-D)
,Xiao Long,Bantamweight,2-1-0 (W-L-D)
"""The Last Ninja""",Ange Loosa,"""The Last Ninja""",10-3-0 (W-L-D)
,Diego Lopes,Featherweight,24-6-0 (W-L-D)
,Dileno Lopes,Bantamweight,19-3-0 (W-L-D)
,Bruno Lopes,Light Heavyweight,0-1-0 (W-L-D)
,Gustavo Lopez,Bantamweight,12-6-1 (W-L-D)
"""Golden Boy""",Benito Lopez,"""Golden Boy""",10-2-0 (W-L-D)
,Matthew Lopez,Bantamweight,10-5-0 (W-L-D)
,Jorge Lopez,Welterweight,11-3-0 (W-L-D)
,Steve Lopez,Lightweight,12-3-0 (W-L-D)
,Aaron Lott,Welterweight,0-0-0 (W-L-D)
,Brendan Loughnane,Lightweight,16-4-0 (W-L-D)
"""The Don""",Caolán Loughran,"""The Don""",9-1-0 (W-L-D)
,Nate Loughran,Middleweight,0-0-0 (W-L-D)
"""The Barn Owl""",Ian Loveland,"""The Barn Owl""",14-9-0 (W-L-D)
,Waylon Lowe,Lightweight,10-4-0 (W-L-D)
,Joseph Lowry,Lightweight,7-2-0 (W-L-D)
,Robert Lucarelli,,0-0-0 (W-L-D)
"""Luke Duke""",Matt Lucas,"""Luke Duke""",14-3-0 (W-L-D)
"""Bang""",Duane Ludwig,"""Bang""",29-14-0 (W-L-D)
,Mike Lullo,Featherweight,8-3-0 (W-L-D)
,Qiu Lun,Flyweight,1-2-0 (W-L-D)
"""Champion""",Dalcha Lungiambula,"""Champion""",11-6-0 (W-L-D)
"""The Silent Assassin""",Vicente Luque,"""The Silent Assassin""",22-10-1 (W-L-D)
,Thaddeus Luster,,0-0-0 (W-L-D)
"""The Serial Killer""",Travis Lutter,"""The Serial Killer""",12-5-0 (W-L-D)
"""Top Gun""",Tucker Lutz,"""Top Gun""",12-4-0 (W-L-D)
"""Smiling Assassin""",Stevie Lynch,"""Smiling Assassin""",4-0-0 (W-L-D)
"""Lights Out""",Chris Lytle,"""Lights Out""",41-18-4 (W-L-D)
"""Maestro""",Dong Hyun Ma,"""Maestro""",16-11-3 (W-L-D)
,Pawan Maan,Lightweight,0-1-0 (W-L-D)
"""Patolino""",William Macario,"""Patolino""",8-3-0 (W-L-D)
"""Main Event""",Ryan MacDonald,"""Main Event""",10-2-0 (W-L-D)
"""Red King""",Rory MacDonald,"""Red King""",18-4-0 (W-L-D)
"""The Athlete""",Jason MacDonald,"""The Athlete""",26-16-0 (W-L-D)
"""Maximus""",Rob MacDonald,"""Maximus""",4-3-0 (W-L-D)
"""Bigfoot""",Caio Machado,"""Bigfoot""",8-3-1 (W-L-D)
"""The Future""",Ian Machado Garry,"""The Future""",14-0-0 (W-L-D)
"""The Dragon""",Lyoto Machida,"""The Dragon""",24-8-0 (W-L-D)
,Anthony Macias,,0-0-0 (W-L-D)
"""Mad Dog""",Reza Madadi,"""Mad Dog""",14-6-0 (W-L-D)
"""Magic Man""",Don Madge,"""Magic Man""",9-3-1 (W-L-D)
"""The Lion""",Ryan Madigan,"""The Lion""",5-1-0 (W-L-D)
,Victor Madrigal,Bantamweight,0-1-0 (W-L-D)
"""The Olympian""",Mark Madsen,"""The Olympian""",12-2-0 (W-L-D)
,Jon Madsen,Heavyweight,7-1-0 (W-L-D)
"""Macarrão""",Leonardo Mafra,"""Macarrão""",12-3-0 (W-L-D)
"""Hellboy""",Caio Magalhaes,"""Hellboy""",9-3-0 (W-L-D)
"""Trekko""",Bernardo Magalhaes,"""Trekko""",11-3-0 (W-L-D)
"""Pezao""",Vinny Magalhaes,"""Pezao""",11-7-0 (W-L-D)
"""The Haitian Sensation""",Neil Magny,"""The Haitian Sensation""",29-12-0 (W-L-D)
,Raimond Magomedaliev,Welterweight,0-1-0 (W-L-D)
,Abus Magomedov,Middleweight,26-6-1 (W-L-D)
"""Goretz""",Rashid Magomedov,"""Goretz""",20-2-0 (W-L-D)
"""Bullet """,Shara Magomedov,"""Bullet """,12-0-0 (W-L-D)
"""Leopard""",Ruslan Magomedov,"""Leopard""",14-1-0 (W-L-D)
,Zabit Magomedsharipov,Featherweight,18-1-0 (W-L-D)
"""The One""",John Maguire,"""The One""",18-6-0 (W-L-D)
,Maheshate,Lightweight,10-3-0 (W-L-D)
"""The Butcher""",Bill Mahood,"""The Butcher""",12-3-1 (W-L-D)
,Demian Maia,Welterweight,28-11-0 (W-L-D)
,Roshan Mainam,Featherweight,0-0-0 (W-L-D)
"""The Hornet""",Levan Makashvili,"""The Hornet""",10-2-1 (W-L-D)
"""The Bull""",John Makdessi,"""The Bull""",18-9-0 (W-L-D)
,Islam Makhachev,Lightweight,26-1-0 (W-L-D)
,Bilyal Makhov,Heavyweight,0-0-0 (W-L-D)
"""Fun Size""",Zach Makovsky,"""Fun Size""",19-8-0 (W-L-D)
"""Qazaq""",Azat Maksum,"""Qazaq""",17-1-0 (W-L-D)
"""Caipira de Aco""",Fabio Maldonado,"""Caipira de Aco""",22-9-0 (W-L-D)
"""El Tigre""",Nazareno Malegarie,"""El Tigre""",28-5-0 (W-L-D)
"""Mamba""",Jacob Malkoun,"""Mamba""",8-3-0 (W-L-D)
"""Proper""",Mike Malott,"""Proper""",10-2-1 (W-L-D)
"""Rude Boy""",Troy Mandaloniz,"""Rude Boy""",3-2-0 (W-L-D)
"""Mayhem""",Nate Maness,"""Mayhem""",15-3-0 (W-L-D)
,Gary Mangat,Flyweight,0-0-0 (W-L-D)
,Jon Manley,Welterweight,7-3-0 (W-L-D)
"""Poster Boy""",Jimi Manuwa,"""Poster Boy""",17-6-0 (W-L-D)
"""Patolino""",William Marcario,"""Patolino""",0-0-0 (W-L-D)
,Cristiano Marcello,Lightweight,13-6-0 (W-L-D)
"""Soncora""",Daniel Marcos,"""Soncora""",16-0-0 (W-L-D)
"""No Chance""",Jose Maria,"""No Chance""",33-5-0 (W-L-D)
"""Wasabi""",Enrique Marin,"""Wasabi""",9-4-0 (W-L-D)
"""Slap Papi""",Jesse Mariotti,"""Slap Papi""",0-0-0 (W-L-D)
,Chepe Mariscal,Featherweight,16-6-0 (W-L-D)
,Ronny Markes,Middleweight,14-3-0 (W-L-D)
,Rory Markham,Welterweight,16-6-0 (W-L-D)
"""The Kid """,Brendon Marotte,"""The Kid """,12-1-1 (W-L-D)
"""The Great""",Nate Marquardt,"""The Great""",38-19-2 (W-L-D)
,Danilo Marques,Light Heavyweight,11-4-0 (W-L-D)
"""The Cuban Missile Crisis""",Julian Marquez,"""The Cuban Missile Crisis""",9-5-0 (W-L-D)
"""The Fury""",Carmelo Marrero,"""The Fury""",10-2-1 (W-L-D)
"""El Tigre""",Dallas Marron,"""El Tigre""",0-0-0 (W-L-D)
,Cesar Marscucci,Lightweight,0-0-0 (W-L-D)
"""The Bull""",John Marsh,"""The Bull""",12-4-0 (W-L-D)
"""Fire""",Francis Marshall,"""Fire""",7-2-0 (W-L-D)
"""The Fire""",Eliot Marshall,"""The Fire""",11-5-0 (W-L-D)
"""The Rhino""",Doug Marshall,"""The Rhino""",7-2-0 (W-L-D)
"""The Hammer""",Jack Marshman,"""The Hammer""",23-10-0 (W-L-D)
,Justin Martin,Heavyweight,0-0-0 (W-L-D)
,Anthony Rocco Martin,Welterweight,17-6-0 (W-L-D)
,Eric Martin,Heavyweight,1-0-0 (W-L-D)
,Terry Martin,Middleweight,18-4-0 (W-L-D)
"""Blackbeard""",Michal Martinek,"""Blackbeard""",0-0-0 (W-L-D)
"""Dragon""",Jonathan Martinez,"""Dragon""",19-5-0 (W-L-D)
"""ManaBoi""",Mana Martinez,"""ManaBoi""",10-4-0 (W-L-D)
,Roque Martinez,Heavyweight,15-8-2 (W-L-D)
"""The Brick""",Victor Martinez,"""The Brick""",13-6-0 (W-L-D)
"""Sicario""",Henry Martinez,"""Sicario""",9-3-0 (W-L-D)
"""The Gremlin""",Danny Martinez,"""The Gremlin""",18-7-0 (W-L-D)
,Rainy Martinez,Lightweight,0-0-0 (W-L-D)
"""Mineiro""",Lucas Martins,"""Mineiro""",16-3-0 (W-L-D)
,Adriano Martins,Lightweight,28-9-0 (W-L-D)
,Bristol Marunde,Welterweight,12-9-0 (W-L-D)
,Kazuma Maruyama,Lightweight,0-1-0 (W-L-D)
"""The Master of Disaster""",Mike Massenzio,"""The Master of Disaster""",13-7-0 (W-L-D)
"""Gamebred""",Jorge Masvidal,"""Gamebred""",35-17-0 (W-L-D)
,Al Matavao,Light Heavyweight,0-1-0 (W-L-D)
,Eduardo Matias Torres,Bantamweight,0-1-0 (W-L-D)
"""Tech""",Tateki Matsuda,"""Tech""",10-7-0 (W-L-D)
,Jean Matsumoto,Bantamweight,15-0-0 (W-L-D)
,Koyomi Matsushima,Featherweight,1-1-0 (W-L-D)
"""The Controller """,Connor Matthews,"""The Controller """,7-2-0 (W-L-D)
"""The Celtic Kid""",Jake Matthews,"""The Celtic Kid""",20-7-0 (W-L-D)
,John Matua,,0-0-0 (W-L-D)
,Francesco Maturi,,0-0-0 (W-L-D)
"""The Janitor""",Vladimir Matyushenko,"""The Janitor""",26-7-0 (W-L-D)
,Nick Maximov,Middleweight,8-2-0 (W-L-D)
"""The Outlaw""",Jack May,"""The Outlaw""",7-2-0 (W-L-D)
"""Lord Kong""",Don'Tale Mayes,"""Lord Kong""",11-6-0 (W-L-D)
,Gray Maynard,Featherweight,14-8-1 (W-L-D)
"""The Alaskan Hammer""",Scott McAfee,"""The Alaskan Hammer""",6-0-0 (W-L-D)
,Michael McBride,Lightweight,8-3-0 (W-L-D)
"""Uncle Creepy""",Ian McCall,"""Uncle Creepy""",13-5-1 (W-L-D)
"""Chainsaw""",Charles McCarthy,"""Chainsaw""",10-5-0 (W-L-D)
"""Big Sexy""",Sean McCorkle,"""Big Sexy""",10-2-0 (W-L-D)
"""Savage""",Kris McCray,"""Savage""",6-3-0 (W-L-D)
"""The Barn Cat""",Tamdan McCrory,"""The Barn Cat""",14-5-0 (W-L-D)
"""The Nsane1""",Justin McCully,"""The Nsane1""",9-5-2 (W-L-D)
"""The Menace""",Bubba McDaniel,"""The Menace""",21-8-0 (W-L-D)
"""Mayday""",Michael McDonald,"""Mayday""",17-4-0 (W-L-D)
"""The Massacre""",Drew McFedries,"""The Massacre""",8-6-0 (W-L-D)
"""The Crusher""",Court McGee,"""The Crusher""",22-13-0 (W-L-D)
"""The Giant""",Gan McGee,"""The Giant""",12-2-0 (W-L-D)
"""The Manica""",Marcus McGhee,"""The Manica""",9-1-0 (W-L-D)
"""The Kid""",Ryan McGilivray,"""The Kid""",11-5-1 (W-L-D)
,Jack McGlaughlin,,0-0-0 (W-L-D)
"""The Notorious""",Conor McGregor,"""The Notorious""",22-6-0 (W-L-D)
"""Poopies""",Sean Mcinerney,"""Poopies""",0-0-0 (W-L-D)
"""Skelator""",Rhys McKee,"""Skelator""",13-6-1 (W-L-D)
,Antonio McKee,Lightweight,25-4-2 (W-L-D)
,Cody McKenzie,Lightweight,14-4-0 (W-L-D)
"""Wrecking Machine""",Tim McKenzie,"""Wrecking Machine""",12-6-0 (W-L-D)
"""T. Wrecks""",Terrance McKinney,"""T. Wrecks""",15-7-0 (W-L-D)
"""Soldierboy""",Garreth McLellan,"""Soldierboy""",13-6-0 (W-L-D)
"""The Hammer""",James McSweeney,"""The Hammer""",13-7-0 (W-L-D)
"""The Dirty Bird""",Tim Means,"""The Dirty Bird""",33-16-1 (W-L-D)
"""Gasparzinho""",Anistavio Medeiros,"""Gasparzinho""",15-8-0 (W-L-D)
,Yancy Medeiros,Lightweight,15-8-0 (W-L-D)
,MarQuel Mederos,Lightweight,9-1-0 (W-L-D)
"""The Doctor""",Uroš Medić,"""The Doctor""",10-2-0 (W-L-D)
,Todd Medina,,0-0-0 (W-L-D)
