name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Jermaine McDermott,3,3,0,187.96,103.872568,187.96,,,,,,,,,,,United States,Xtreme Couture,3-3-0.,0.5,Peso Pesado
Mike Shipman,14,14,0,177.8,83.91452,177.8,,,,,,,,,,,England,London Shootfighters,14-14-0.,0.5,Peso Médio
Chan Heng,8,8,0,0.0,59.874144,0.0,,,,,,,,,,,Cambodia,Cambodian Top Team,8-8-0.,0.5,Peso Galo
Mike Fleniken,7,7,0,177.8,83.91452,177.8,,,,,,,,,,,United States,Louisville MMA,7-7-0.,0.5,Peso Médio
Eka Aprilianto,2,2,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,Indonesia,IndoGym,2-2-0.,0.5,Peso Galo
Jonathan Burdine,5,5,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,5-5-0.,0.5,Peso Leve
Jesse Kosakowski,4,4,0,0.0,70.30676,0.0,,,,,,,,,,,United States,PSDTC,4-4-0.,0.5,Peso Leve
Leroy Johnson,8,8,0,182.88,119.294696,182.88,,,,,,,,,,,United States,Michigan Top Team,8-8-0.,0.5,Peso Pesado
Giva Santana,18,18,0,177.8,83.91452,177.8,,,,,,,,,,,United States,Team Oyama,18-18-0.,0.5,Peso Médio
Jorge Acosta,0,0,0,170.18,70.30676,170.18,,,,,,,,,,,United States,,0-0-0.,0.0,Peso Leve
Oscar Ramirez,6,6,0,170.18,57.152592,170.18,,,,,,,,,,,United States,Reno Academy of Combat,6-6-0.,0.5,Peso Galo
Ronnie Mann,25,25,0,167.64000000000001,61.23492,167.64000000000001,,,,,,,,,,,England,Iron Mann MMA,25-25-0.,0.5,Peso Galo
Kevin Abrante,4,4,0,185.42,92.079176,185.42,,,,,,,,,,,United States,,4-4-0.,0.5,Peso Meio-Pesado
Yan  Naing Aung,0,0,0,162.56,70.30676,162.56,,,,,,,,,,,Myanmar,Nyein Chan Yay,0-0-0.,0.0,Peso Leve
Frank Sforza,8,8,0,182.88,70.30676,182.88,,,,,,,,,,,United States,South Shore Sport Fighting,8-8-0.,0.5,Peso Leve
Ysidro Gutierrez,5,5,0,175.26,72.57472,175.26,,,,,,,,,,,United States,Team Pain,5-5-0.,0.5,Peso Meio-Médio
Kangkang Fu,9,9,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,China,Qingdao Xinjiang International Fight Club,9-9-0.,0.5,Peso Leve
Jake Roberts,7,7,0,177.8,70.30676,177.8,,,,,,,,,,,United States,MMA Lab,7-7-0.,0.5,Peso Leve
Annalisa Bucci,7,7,0,170.18,63.50288,170.18,,,,,,,,,,,Italy,Athletic Thai Gym,7-7-0.,0.5,Peso Pena
Michael Guymon,15,15,0,182.88,70.30676,182.88,,,,,,,,,,,United States,Joker's MMA,15-15-0.,0.5,Peso Leve
Benjamin Brander,12,12,0,180.34,70.30676,180.34,,,,,,,,,,,Switzerland,360 Martial Arts,12-12-0.,0.5,Peso Leve
Nkemdirim Oti,2,2,0,187.96,119.294696,187.96,,,,,,,,,,,United States,10th Planet Jiu Jitsu Decatur,2-2-0.,0.5,Peso Pesado
Uros Jurisic,11,11,0,177.8,77.11064,177.8,,,,,,,,,,,Slovenia,American Top Team,11-11-0.,0.5,Peso Meio-Médio
Fran Evans,1,1,0,0.0,65.77083999999999,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Leve
Henry Lindsay,7,7,0,175.26,82.553744,175.26,,,,,,,,,,,United States,,7-7-0.,0.5,Peso Médio
Rena Kubota,11,11,0,160.02,52.616672,160.02,,,,,,,,,,,Japan,Caesar Gym,11-11-0.,0.5,Peso Mosca
Adam Shahir Kayoom,4,4,0,180.34,77.11064,180.34,,,,,,,,,,,Malaysia,Phuket Top Team,4-4-0.,0.5,Peso Meio-Médio
Cheng Chao Li,0,0,0,0.0,65.77083999999999,0.0,,,,,,,,,,,China,Dragon Warrior,0-0-0.,0.0,Peso Leve
Jeremy Murphy,4,4,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,United States,American Kickboxing Academy,4-4-0.,0.5,Peso Mosca
